time,open,high,low,close,MA,MA,MA,MA,MA,MA,Volume,Volume MA,Histogram,MACD,Signal
2020-04-07T04:15:00Z,1104.241252,1107.411085,1103.003036,1106.470041,1083.319578,1099.760816,NaN,NaN,NaN,NaN,218460,355626.7,3.862008419,13.67246403,9.810455608
2020-04-07T04:20:00Z,1106.51957,1110.432333,1105.677583,1109.44176,1085.694322,1102.181052,NaN,NaN,NaN,NaN,289286,364661.15,3.445657063,14.11752694,10.67186987
2020-04-07T04:25:00Z,1109.194117,1115.137555,1109.194117,1114.19651,1088.28543,1105.184916,NaN,NaN,NaN,NaN,419624,376680.95,3.24402721,14.72690389,11.48287668
2020-04-07T04:30:00Z,1114.345096,1121.328636,1112.413479,1119.446547,1091.118259,1108.750324,NaN,NaN,NaN,NaN,560509,397658.45,3.214821099,15.50140305,12.28658195
2020-04-07T04:35:00Z,1120.239006,1124.201298,1116.326242,1120.536178,1093.792615,1111.696788,NaN,NaN,NaN,NaN,487457,413809.75,2.977555861,16.00852678,13.03097092
2020-04-07T04:40:00Z,1121.080993,1122.319209,1116.573886,1119.099847,1096.093272,1113.547552,NaN,NaN,NaN,NaN,305791,420105.9,2.430580242,16.06919622,13.63861598
2020-04-07T04:45:00Z,1119.050318,1120.338063,1114.889912,1118.307388,1098.112738,1114.737511,NaN,NaN,NaN,NaN,271793,422498.9,1.764505734,15.84424814,14.07974241
2020-04-07T04:50:00Z,1118.356917,1119.496076,1115.385198,1119.050318,1100.016154,1115.815713,NaN,NaN,NaN,NaN,225278,425128.85,1.171293182,15.54385889,14.37256571
2020-04-07T04:55:00Z,1119.050318,1127.272074,1117.415873,1126.776788,1102.448939,1118.555982,NaN,NaN,NaN,NaN,290562,424943.95,1.170420552,15.8355914,14.66517084
2020-04-07T05:00:00Z,1126.727259,1127.470189,1120.585706,1120.734292,1104.111244,1119.100559,NaN,NaN,NaN,NaN,185843,419957.15,0.512425089,15.30570221,14.79327712
2020-04-07T05:05:00Z,1120.684764,1123.904126,1120.585706,1121.279107,1105.671959,1119.645196,NaN,NaN,NaN,NaN,119443,406599.6,-0.027962773,14.75832365,14.78628642
2020-04-07T05:10:00Z,1121.130521,1127.272074,1121.130521,1126.727259,1107.586077,1121.415712,NaN,NaN,NaN,NaN,169372,394108.3,-0.102452659,14.6582206,14.76067326
2020-04-07T05:15:00Z,1126.727259,1131.234366,1123.706011,1129.649449,1109.591838,1123.474146,NaN,NaN,NaN,NaN,300368,387790.1,-0.072068138,14.67058809,14.74265622
2020-04-07T05:20:00Z,1129.550392,1135.890059,1129.25322,1131.729653,1111.604366,1125.538023,NaN,NaN,NaN,NaN,361782,389114.95,-0.040825824,14.69162394,14.73244977
2020-04-07T05:25:00Z,1131.234366,1131.927767,1126.479616,1127.272074,1113.028704,1125.971536,NaN,NaN,NaN,NaN,215908,344768.4,-0.49496902,14.11373849,14.60870751
2020-04-07T05:30:00Z,1127.123488,1133.215512,1124.547998,1133.066926,1114.85036,1127.745383,NaN,NaN,NaN,NaN,196966,311960.6,-0.462841278,14.03015591,14.49299719
2020-04-07T05:35:00Z,1132.91834,1139.951408,1132.472582,1138.614135,1117.010703,1130.462571,NaN,NaN,NaN,NaN,501224,303573.05,-0.149532292,14.30608183,14.45561412
2020-04-07T05:40:00Z,1138.663664,1143.121242,1138.564606,1141.783968,1119.262818,1133.29292,NaN,NaN,NaN,NaN,315888,299891.2,0.144206658,14.63587244,14.49166578
2020-04-07T05:45:00Z,1142.130669,1149.06468,1141.73444,1146.192018,1121.710927,1136.517695,NaN,NaN,NaN,NaN,426752,302674.3,0.500910164,15.11780349,14.61689333
2020-04-07T05:50:00Z,1146.538719,1148.668451,1140.941981,1143.9137,1123.729361,1138.366696,NaN,NaN,NaN,NaN,365012,311365.9,0.380140503,15.09206895,14.71192845
2020-04-07T05:55:00Z,1144.062286,1151.045826,1143.121242,1150.302896,1126.145137,1141.350746,NaN,NaN,NaN,NaN,369104,318898.1,0.612443183,15.47748243,14.86503925
2020-04-07T06:00:00Z,1150.996297,1151.045826,1142.229726,1143.9137,1127.760461,1141.991485,NaN,NaN,NaN,NaN,241535,316510.55,0.101726309,14.99219713,14.89047082
2020-04-07T06:05:00Z,1143.864172,1144.359458,1136.187231,1144.210872,1129.255953,1142.546332,NaN,NaN,NaN,NaN,302916,310675.15,-0.344236128,14.46017566,14.80441179
2020-04-07T06:10:00Z,1144.260401,1146.390133,1142.675484,1143.666057,1130.565963,1142.826263,NaN,NaN,NaN,NaN,136254,289462.4,-0.786970444,13.82069874,14.60766918
2020-04-07T06:15:00Z,1143.9137,1149.06468,1143.9137,1146.241547,1131.991016,1143.680084,NaN,NaN,NaN,NaN,200276,275103.35,-0.970038905,13.39512055,14.36515945
